Time        Ax        Ay        Az        Gx        Gy        Gz        Pitch     Roll      
00:41:35    -1.11     0.04      9.39      -1.51     -0.32     -0.07     0.45      1.82      
00:41:35    -0.32     -0.16     9.67      0.44      0.35      0.09      0.32      1.85      
00:41:35    -0.54     -0.50     9.88      0.35      1.04      0.01      0.05      1.99      
00:41:35    0.01      0.09      9.80      1.08      2.11      -0.20     0.19      1.84      
00:41:35    0.16      -0.75     9.45      1.15      1.27      2.17      -0.22     1.61      
00:41:36    0.10      0.78      9.79      -1.18     -0.45     -0.13     0.23      1.34      
00:41:36    -0.30     0.05      9.76      0.24      -0.14     0.16      0.23      1.39      
00:41:36    0.20      -0.43     9.84      0.82      -1.11     -0.13     -0.09     1.18      
00:41:36    0.31      0.17      9.55      0.67      -0.04     0.29      0.02      0.90      
00:41:36    0.20      0.67      9.71      -1.46     -0.95     0.13      0.37      0.63      
00:41:36    -0.82     0.11      9.78      0.55      0.52      0.09      0.41      1.07      
00:41:36    0.15      -0.07     9.70      0.56      0.55      0.32      0.35      0.90      
00:41:36    0.32      0.43      9.77      -1.49     0.33      0.22      0.59      0.56      
00:41:36    -0.85     0.61      9.26      -1.41     -0.50     -0.29     0.88      0.97      
00:41:36    -0.05     -0.56     9.76      0.67      0.19      0.00      0.47      0.93      
00:41:36    -0.57     0.50      9.32      -1.63     -1.09     0.04      0.68      1.11      
00:41:36    0.18      -0.31     9.50      0.83      1.76      0.13      0.51      0.92      
00:41:36    0.09      0.53      9.92      -1.29     -0.66     -0.04     0.73      0.72      
00:41:36    -0.98     0.58      9.51      -0.42     -0.17     0.01      1.00      1.22      
00:41:36    0.24      0.51      9.42      -1.08     -1.18     0.05      1.16      0.90      
00:41:36    0.13      0.46      9.76      -0.76     -1.22     0.06      1.26      0.70      
00:41:36    -0.01     0.26      9.85      -2.24     -0.06     0.24      1.28      0.53      
00:41:37    0.00      -0.65     9.50      0.86      -0.45     0.03      0.75      0.52      
00:41:37    -0.25     -0.01     9.71      -0.89     0.01      -0.00     0.67      0.57      
00:41:37    -0.52     1.42      10.07     -1.32     0.23      2.19      1.41      0.75      
00:41:37    -0.81     -0.10     10.03     0.57      0.51      0.16      1.24      1.16      
00:41:37    0.65      -0.16     9.67      0.87      -0.52     -0.03     0.99      0.70      
00:41:37    -0.93     0.06      9.43      -1.69     -0.57     0.23      0.90      1.12      
00:41:37    -0.38     0.52      9.81      -0.99     -0.80     0.05      1.08      1.18      
00:41:37    -0.56     0.10      9.76      0.13      0.72      0.03      1.07      1.40      
00:41:37    0.72      -0.46     9.60      0.23      0.85      2.20      0.72      0.84      
00:41:37    -1.05     1.02      9.95      -2.24     -3.92     -5.06     1.05      1.26      
00:41:37    0.39      0.60      9.08      -3.87     -4.22     -2.93     1.13      0.71      
00:41:37    0.90      -1.41     9.51      6.84      1.81      -1.94     0.26      0.41      
00:41:37    -0.01     0.17      9.87      -0.63     1.78      1.34      0.41      0.35      
00:41:37    -0.70     0.64      9.42      -0.38     0.80      -0.36     0.79      0.72      
00:41:37    -0.43     -0.58     9.63      1.37      0.18      0.27      0.37      0.97      
00:41:37    0.64      -0.76     9.73      -2.43     -3.23     0.15      -0.26     0.38      
00:41:37    -0.57     -0.09     9.70      1.83      0.54      -1.62     -0.26     0.76      
00:41:38    -0.79     -0.10     9.43      -1.27     0.33      0.42      -0.28     1.11      
00:41:38    -0.77     0.61      10.04     1.31      1.46      4.14      0.17      1.50      
00:41:38    0.48      0.25      9.80      1.84      1.03      -1.04     0.34      1.15      
00:41:38    -1.51     1.32      9.82      0.95      2.06      -0.41     1.16      1.95      
00:41:38    -0.17     0.15      10.13     -3.50     -2.17     0.13      1.03      1.70      
00:41:38    0.39      0.43      9.62      -2.07     1.54      -0.54     1.25      1.21      
00:41:38    -0.62     0.15      10.14     2.57      2.24      0.38      1.31      1.55      
00:41:38    -1.07     2.06      9.64      -0.36     -3.10     2.19      2.24      2.01      
00:41:38    -0.13     0.62      9.64      -3.21     -2.22     -0.96     2.28      1.74      
00:41:38    3.42      0.24      10.04     2.32      3.01      3.41      2.32      -0.21     
00:41:38    -0.85     1.06      10.41     -9.19     -0.31     2.87      2.65      -0.14     
00:41:38    -0.32     0.61      9.66      -6.92     12.17     0.96      3.30      -0.24     
00:41:38    -0.26     -1.26     9.52      -8.40     17.09     2.61      2.98      -0.44     
00:41:38    -0.37     0.66      10.36     -8.77     22.53     2.63      4.06      -0.59     
00:41:38    -2.54     0.00      10.13     -6.65     9.80      7.06      4.10      0.58      
00:41:38    -0.78     -0.51     9.70      -7.79     16.50     5.15      4.13      0.63      
00:41:38    -1.16     0.01      9.20      -7.09     17.67     3.44      4.52      0.97      
00:41:39    -1.67     -2.15     9.10      -1.24     8.78      1.44      3.16      1.85      
00:41:39    -0.94     0.82      9.74      -3.41     3.78      0.74      3.49      2.06      
00:41:39    -1.09     -0.92     9.74      -1.34     15.75     1.00      3.32      2.43      
00:41:39    -0.57     -0.67     9.37      -5.89     20.40     2.08      3.49      2.28      
00:41:39    -1.49     2.29      9.93      -9.27     27.01     1.30      5.64      2.49      
00:41:39    -2.05     0.37      8.48      -9.56     24.62     1.83      6.43      3.17      
00:41:39    -1.40     1.49      10.08     0.62      20.60     2.48      7.55      3.67      
00:41:39    -4.52     -1.36     9.69      2.18      12.38     2.24      6.62      5.90      
00:41:39    -3.48     -1.31     8.76      -2.38     20.41     1.58      6.09      7.37      
00:41:39    -1.59     -0.01     9.35      0.79      34.95     3.52      7.04      7.63      
00:41:39    -0.53     -0.88     10.31     2.35      43.78     2.08      7.82      7.27      
00:41:39    -6.13     -1.57     7.49      -2.05     42.20     0.84      8.02      10.38     
00:41:39    -5.71     -1.12     7.70      6.68      31.97     -0.45     7.99      13.30     
00:41:39    -5.23     1.90      7.68      2.53      14.01     -2.61     8.97      15.50     
00:41:39    -4.59     0.40      7.57      -3.40     -7.09     1.04      8.01      16.92     
00:41:39    -5.02     -0.50     8.34      -0.66     -5.60     0.38      6.67      18.31     
00:41:40    -3.11     0.74      9.26      -6.13     -2.96     2.20      6.30      18.06     
00:41:40    -5.05     -1.06     8.83      2.97      7.77      0.63      5.43      19.36     
00:41:40    -3.51     0.37      8.82      0.03      9.95      0.51      5.56      19.60     
00:41:40    -4.95     -0.90     8.22      1.11      7.39      0.78      4.80      20.79     
00:41:40    -4.02     -0.05     7.67      -2.13     3.48      0.30      4.44      21.39     
00:41:40    -5.28     -0.69     8.27      1.03      9.53      0.18      4.03      22.55     
00:41:40    -3.70     -1.39     7.95      2.84      11.14     1.18      3.23      22.92     
00:41:40    -4.59     1.46      9.22      -1.32     6.56      0.71      4.01      23.21     
00:41:40    -5.78     -0.96     8.09      1.78      10.33     0.32      3.52      24.53     
00:41:40    -4.74     0.03      8.78      0.93      11.27     0.31      3.69      24.95     
00:41:40    -4.20     -0.81     8.34      2.56      14.75     0.99      3.49      25.24     
00:41:40    -3.92     1.08      8.98      -1.49     8.73      1.29      4.16      25.01     
00:41:40    -5.24     -0.66     7.75      1.40      9.30      -0.06     3.77      25.98     
00:41:40    -4.69     -1.02     7.97      -0.78     2.83      0.79      2.89      26.40     
00:41:40    -5.71     -0.80     7.42      0.97      -2.59     0.38      1.99      27.56     
00:41:40    -5.84     -0.56     7.98      0.05      -0.66     0.04      1.44      28.43     
00:41:40    -4.83     -0.94     7.84      1.02      8.09      0.33      1.08      28.80     
00:41:41    -6.64     -0.44     7.55      -0.12     6.95      0.08      1.03      30.04     
00:41:41    -4.18     1.14      7.96      -1.04     3.88      0.40      1.83      29.76     
00:41:41    -6.78     -0.75     7.69      2.88      -0.84     0.92      1.19      31.05     
00:41:41    -5.96     -0.55     8.20      1.40      4.26      0.42      0.95      31.61     
00:41:41    -5.73     -0.61     8.40      3.14      7.57      2.11      0.85      32.02     
00:41:41    -4.28     -0.86     7.85      1.10      12.11     0.09      0.76      31.73     
00:41:41    -4.78     -1.27     8.07      2.47      9.17      0.74      0.33      31.73     
00:41:41    -6.38     -0.36     7.92      0.73      6.90      0.81      0.40      32.47     
00:41:41    -5.01     -0.09     7.64      -1.72     2.25      0.28      0.41      32.48     
00:41:41    -5.81     -0.37     7.68      0.34      4.08      2.19      0.33      32.96     
00:41:41    -5.43     -0.28     8.00      0.49      8.26      0.25      0.51      33.10     
00:41:41    -7.43     -0.30     7.74      2.63      11.25     -0.18     0.80      34.29     
00:41:41    -4.75     -1.08     7.90      1.02      7.44      0.67      0.38      34.01     
00:41:41    -7.80     0.18      7.92      0.52      6.81      0.03      0.75      35.09     
00:41:41    -4.88     -0.06     6.94      0.45      7.24      0.14      0.95      35.11     
00:41:41    -5.01     -0.16     7.41      2.05      -0.22     0.53      0.75      35.10     
00:41:42    -6.00     -0.88     7.45      0.49      -1.77     0.37      0.07      35.50     
00:41:42    -5.96     -0.42     7.72      0.97      3.29      0.19      -0.03     35.76     
00:41:42    -5.53     -1.04     7.28      1.50      7.69      0.78      -0.33     35.97     
00:41:42    -6.94     -0.65     7.94      1.05      9.02      0.51      -0.25     36.54     
00:41:42    -5.50     1.70      7.99      0.49      8.43      -0.03     1.15      36.36     
00:41:42    -5.95     0.14      7.62      2.78      3.79      1.35      1.29      36.65     
00:41:42    -4.77     -0.08     7.38      -0.04     5.25      0.67      1.35      36.27     
00:41:42    -6.50     -0.92     7.45      3.02      4.56      0.63      0.89      36.89     
00:41:42    -5.39     0.24      7.46      0.71      7.61      0.83      1.29      36.82     
00:41:42    -4.93     1.73      7.80      2.88      9.40      1.03      2.64      36.49     
00:41:42    -4.70     0.40      7.20      1.42      11.97     -1.55     3.18      36.22     
00:41:42    -6.08     -0.84     6.84      1.50      7.19      0.22      2.66      36.83     
00:41:42    -6.10     1.52      7.55      -2.31     6.21      0.68      3.57      36.94     
00:41:42    -6.34     -0.19     6.97      2.92      3.01      -0.26     3.23      37.60     
00:41:42    -5.55     0.94      7.33      1.40      -0.97     0.18      3.45      37.62     
00:41:42    -6.26     -0.41     6.64      0.74      2.06      0.70      2.94      38.22     
00:41:42    -5.50     1.68      7.35      -0.60     -0.16     0.17      3.68      38.06     
00:41:43    -6.80     -0.71     6.99      0.80      0.58      0.58      2.92      38.71     
00:41:43    -5.49     -0.12     7.00      0.59      5.08      0.78      2.78      38.67     
00:41:43    -7.78     -0.08     7.21      2.05      13.45     0.81      3.06      39.61     
00:41:43    -9.16     -0.75     6.62      3.87      12.50     0.42      2.94      41.24     
00:41:43    -9.84     -0.89     6.98      1.61      9.30      0.45      2.64      42.65     
00:41:43    -6.36     0.34      6.63      1.27      1.47      0.03      2.66      42.83     
00:41:43    -7.09     -0.01     6.27      4.16      -1.00     0.90      2.34      43.58     
00:41:43    -6.08     0.43      6.68      0.01      1.69      0.58      2.45      43.45     
00:41:43    -6.00     -0.54     5.95      -1.76     3.43      -0.36     1.99      43.55     
00:41:43    -8.76     -0.70     6.78      1.34      3.67      0.17      1.60      44.48     
00:41:43    -6.17     -0.35     5.88      0.23      9.14      0.49      1.61      44.68     
00:41:43    -6.66     0.02      6.45      1.90      2.11      0.39      1.56      44.90     
00:41:43    -6.71     0.61      6.64      0.39      0.85      0.62      1.81      44.96     
00:41:43    -6.45     0.67      6.35      -1.58     0.66      2.09      2.08      44.94     
00:41:43    -7.11     -0.54     6.25      1.71      -1.25     0.04      1.49      45.39     
00:41:43    -6.11     0.09      6.32      1.82      -5.06     -0.69     1.17      45.34     
00:41:43    -9.26     0.29      5.88      2.86      -12.77    -1.34     0.63      46.69     
00:41:44    -6.56     1.32      6.85      -0.04     -19.74    0.18      0.47      46.40     
00:41:44    -6.50     0.05      5.80      -1.40     -30.69    -1.20     -0.92     46.52     
00:41:44    -11.15    0.27      6.38      0.31      -40.56    -1.20     -2.54     47.90     
00:41:44    -5.24     -2.70     6.75      -7.57     -58.76    -0.78     -6.68     46.55     
00:41:44    -4.70     0.29      7.83      -5.63     -56.80    -2.64     -8.38     44.74     
00:41:44    -6.08     -0.78     8.93      -14.14    -59.79    -7.52     -10.65    43.06     
00:41:44    -4.71     2.47      7.15      -22.47    -53.40    -6.05     -10.38    41.08     
00:41:44    -2.56     -1.56     9.74      -8.86     -50.25    -2.26     -12.48    38.04     
00:41:44    -3.46     -2.58     9.10      0.63      -54.22    -2.36     -15.15    36.35     
00:41:44    -2.32     -2.01     7.85      -5.42     -76.74    -1.71     -18.47    34.12     
00:41:44    2.38      2.33      9.05      17.66     -59.70    -1.16     -17.91    30.03     
00:41:44    -4.03     -3.35     11.53     6.71      -18.34    -4.47     -18.48    29.26     
00:41:44    -2.60     -0.44     9.78      3.40      -11.76    -2.82     -17.41    27.97     
00:41:44    -2.35     -4.40     8.36      25.24     -38.34    -1.39     -20.08    27.88     
00:41:44    6.38      -1.40     12.40     11.08     -27.39    6.26      -19.88    22.87     
00:41:44    -1.34     -0.47     9.90      0.37      2.32      -3.11     -18.06    21.37     
00:41:45    0.52      -0.61     9.46      3.04      3.46      -2.72     -16.46    19.06     
00:41:45    0.04      0.36      9.71      -0.78     -1.26     -0.78     -14.66    17.09     
00:41:45    -0.69     0.66      9.61      -0.46     -0.71     -0.26     -12.83    15.77     
00:41:45    0.16      0.08      9.69      -0.23     0.11      -0.20     -11.50    14.09     
00:41:45    -0.55     0.45      9.79      0.31      0.08      0.18      -10.08    13.01     
00:41:45    -0.70     -0.52     9.49      0.86      -0.24     -0.01     -9.40     12.17     
00:41:45    0.67      0.56      9.97      -0.87     0.13      -0.12     -8.13     10.53     
00:41:45    -0.34     -0.48     9.81      -0.38     0.13      -0.08     -7.59     9.66      
00:41:45    0.07      0.11      9.89      0.24      0.23      0.32      -6.76     8.66      
00:41:45    -0.26     -0.08     9.41      0.10      0.97      0.05      -6.09     7.95      
00:41:45    -0.33     0.50      9.81      -0.75     -0.01     0.19      -5.19     7.32      
00:41:45    -0.12     -0.62     9.71      0.42      -1.38     -0.07     -5.10     6.67      
00:41:45    0.04      0.30      9.76      -2.49     0.02      0.30      -4.41     5.87      
00:41:45    -0.08     0.19      9.59      1.28      0.41      0.05      -3.84     5.39      
00:41:45    -1.01     0.26      9.68      0.89      -1.34     0.07      -3.36     5.49      
00:41:45    0.15      0.38      9.73      0.34      0.07      0.37      -2.80     4.86      
00:41:46    0.07      0.14      9.82      -0.86     -0.05     0.01      -2.44     4.30      
00:41:46    0.04      -0.31     9.40      0.82      -1.12     0.06      -2.44     3.88      
00:41:46    0.47      0.20      9.27      -1.33     2.45      -0.18     -1.96     3.14      
00:41:46    -0.26     0.15      9.89      1.00      -1.54     0.01      -1.75     3.02      
00:41:46    -0.72     0.11      9.73      -0.74     0.10      0.16      -1.50     3.11      
00:41:46    0.26      0.75      9.81      -0.97     -0.48     0.09      -0.94     2.61      
00:41:46    -0.23     0.79      9.49      -1.12     -0.48     -0.04     -0.39     2.43      
00:41:46    0.67      0.46      9.31      -1.10     1.77      -0.03     0.01      1.73      
00:41:46    0.47      0.73      9.78      -1.16     -0.83     0.04      0.40      1.23      
00:41:46    -1.14     -0.08     9.52      1.39      0.69      0.07      0.34      1.85      
00:41:46    -0.12     -0.37     9.83      0.31      2.03      0.07      0.18      1.75      
00:41:46    0.20      0.10      9.45      -0.72     -0.73     -0.06     0.19      1.42      
00:41:46    0.69      0.61      10.11     -0.56     0.13      0.29      0.52      0.86      
00:41:46    0.25      0.48      9.73      -0.68     0.34      -0.07     0.77      0.60      
00:41:46    -0.15     0.20      9.75      0.92      2.41      0.01      0.92      0.67      
00:41:46    -1.25     0.08      9.53      -1.24     -0.59     -0.07     0.85      1.29      
00:41:46    0.74      0.00      9.91      0.83      -1.03     -1.65     0.72      0.78      
00:41:47    0.17      0.65      9.20      -0.92     -0.68     -0.05     1.02      0.55      
00:41:47    0.11      -0.13     9.75      0.47      -0.41     -1.68     0.82      0.45      
00:41:47    -0.15     -0.10     9.66      -0.74     -1.09     -0.01     0.63      0.46      
00:41:47    -0.42     0.11      9.51      -0.44     1.24      0.25      0.69      0.65      
00:41:47    -0.88     -0.07     9.82      0.95      0.54      -0.22     0.60      1.13      
00:41:47    -0.94     0.80      9.56      -0.92     -1.05     0.18      0.97      1.54      
00:41:47    0.44      -0.03     9.72      0.08      0.57      -0.05     0.88      1.13      
00:41:47    0.69      0.55      9.63      -0.98     -0.88     -0.16     1.08      0.56      
00:41:47    0.01      0.60      9.79      -0.21     -0.09     0.24      1.32      0.49      
00:41:47    -0.85     0.91      9.49      -0.72     -0.81     -0.20     1.69      0.92      
00:41:47    -0.54     -0.02     9.76      0.03      -1.27     -0.03     1.45      1.15      
00:41:47    0.33      -0.42     9.54      1.09      0.02      0.31      1.06      0.88      
00:41:47    -0.09     0.34      9.63      -0.92     0.78      0.01      1.19      0.81      
00:41:47    -1.00     0.12      9.36      -0.40     0.89      -0.03     1.19      1.32      
00:41:47    -0.34     -0.41     9.79      0.75      -0.94     -0.02     0.79      1.42      
00:41:47    -0.46     -0.57     9.53      1.13      1.24      -0.00     0.42      1.60      
00:41:48    -0.98     0.04      9.80      -0.89     0.53      0.31      0.43      1.98      
